data,setor,latitude,longitude,media_diaria
2022-06-24,355030874000186,-23.488829,-46.444497,19.393179365154563
2022-06-25,355030874000128,-23.490073,-46.448788,17.018009841258934
2022-06-25,355030874000129,-23.489588,-46.446908,17.018009841258934
2022-06-25,355030874000130,-23.489589,-46.445558,17.018009841258934
2022-06-25,355030874000141,-23.489409,-46.446869,17.018009841258934
2022-06-25,355030874000167,-23.489014,-46.448352,17.018009841258934
2022-06-25,355030874000176,-23.490741,-46.451299,17.035219070322434
2022-06-25,355030874000185,-23.48972,-46.444727,17.018009841258934
2022-06-25,355030874000168,-23.489018,-46.449844,17.018685749410007
2022-06-25,355030874000169,-23.489704,-46.450225,17.035219070322434
2022-06-25,355030874000173,-23.48862,-46.451515,17.018685749410007
2022-06-25,355030874000175,-23.488465,-46.449107,17.018009841258934
2022-06-25,355030874000177,-23.489589,-46.452267,17.035219070322434
2022-06-25,355030874000146,-23.488686,-46.446473,17.018009841258934
2022-06-25,355030874000147,-23.488453,-46.445619,17.018009841258934
2022-06-25,355030874000148,-23.488088,-46.447047,17.018009841258934
2022-06-25,355030874000174,-23.487689,-46.449774,17.018685749410007
2022-06-25,355030874000186,-23.488829,-46.444497,17.018009841258934
2022-06-26,355030874000128,-23.490073,-46.448788,14.29294695253044
2022-06-26,355030874000129,-23.489588,-46.446908,14.29294695253044
2022-06-26,355030874000130,-23.489589,-46.445558,14.29294695253044
2022-06-26,355030874000141,-23.489409,-46.446869,14.29294695253044
2022-06-26,355030874000167,-23.489014,-46.448352,14.29294695253044
2022-06-26,355030874000176,-23.490741,-46.451299,14.601293473859913
2022-06-26,355030874000185,-23.48972,-46.444727,14.29294695253044
2022-06-26,355030874000168,-23.489018,-46.449844,14.492641122595222
2022-06-26,355030874000169,-23.489704,-46.450225,14.601293473859913
2022-06-26,355030874000173,-23.48862,-46.451515,14.492641122595222
2022-06-26,355030874000175,-23.488465,-46.449107,14.29294695253044
2022-06-26,355030874000177,-23.489589,-46.452267,14.601293473859913
2022-06-26,355030874000146,-23.488686,-46.446473,14.29294695253044
2022-06-26,355030874000147,-23.488453,-46.445619,14.29294695253044
2022-06-26,355030874000148,-23.488088,-46.447047,14.29294695253044
2022-06-26,355030874000174,-23.487689,-46.449774,14.492641122595222
2022-06-26,355030874000186,-23.488829,-46.444497,14.29294695253044
2022-06-27,355030874000128,-23.490073,-46.448788,14.04856207308213
2022-06-27,355030874000129,-23.489588,-46.446908,14.04856207308213
2022-06-27,355030874000130,-23.489589,-46.445558,14.04856207308213
2022-06-27,355030874000141,-23.489409,-46.446869,14.04856207308213
2022-06-27,355030874000167,-23.489014,-46.448352,14.04856207308213
2022-06-27,355030874000176,-23.490741,-46.451299,14.093764780421484
2022-06-27,355030874000185,-23.48972,-46.444727,14.04856207308213
2022-06-27,355030874000168,-23.489018,-46.449844,14.04332416028968
2022-06-27,355030874000169,-23.489704,-46.450225,14.093764780421484
2022-06-27,355030874000173,-23.48862,-46.451515,14.04332416028968
2022-06-27,355030874000175,-23.488465,-46.449107,14.04856207308213
2022-06-27,355030874000177,-23.489589,-46.452267,14.093764780421484
2022-06-27,355030874000146,-23.488686,-46.446473,14.04856207308213
2022-06-27,355030874000147,-23.488453,-46.445619,14.04856207308213
2022-06-27,355030874000148,-23.488088,-46.447047,14.04856207308213
2022-06-27,355030874000174,-23.487689,-46.449774,14.04332416028968
2022-06-27,355030874000186,-23.488829,-46.444497,14.04856207308213
2022-06-28,355030874000128,-23.490073,-46.448788,16.068874471717592
2022-06-28,355030874000129,-23.489588,-46.446908,16.068874471717592
2022-06-28,355030874000130,-23.489589,-46.445558,16.068874471717592
2022-06-28,355030874000141,-23.489409,-46.446869,16.068874471717592
2022-06-28,355030874000167,-23.489014,-46.448352,16.068874471717592
2022-06-28,355030874000176,-23.490741,-46.451299,16.129465059990288
2022-06-28,355030874000185,-23.48972,-46.444727,16.068874471717592
2022-06-28,355030874000168,-23.489018,-46.449844,16.063317220018426
2022-06-28,355030874000169,-23.489704,-46.450225,16.129465059990288
2022-06-28,355030874000173,-23.48862,-46.451515,16.063317220018426
2022-06-28,355030874000175,-23.488465,-46.449107,16.068874471717592
2022-06-28,355030874000177,-23.489589,-46.452267,16.129465059990288
2022-06-28,355030874000146,-23.488686,-46.446473,16.068874471717592
2022-06-28,355030874000147,-23.488453,-46.445619,16.068874471717592
2022-06-28,355030874000148,-23.488088,-46.447047,16.068874471717592
2022-06-28,355030874000174,-23.487689,-46.449774,16.063317220018426
2022-06-28,355030874000186,-23.488829,-46.444497,16.068874471717592
2022-06-29,355030874000128,-23.490073,-46.448788,18.279253486044933
2022-06-29,355030874000129,-23.489588,-46.446908,18.279253486044933
2022-06-29,355030874000130,-23.489589,-46.445558,18.279253486044933
2022-06-29,355030874000141,-23.489409,-46.446869,18.279253486044933
2022-06-29,355030874000167,-23.489014,-46.448352,18.279253486044933
2022-06-29,355030874000176,-23.490741,-46.451299,18.572884380007956
2022-06-29,355030874000185,-23.48972,-46.444727,18.279253486044933
2022-06-29,355030874000168,-23.489018,-46.449844,18.47771623655636
2022-06-29,355030874000169,-23.489704,-46.450225,18.572884380007956
2022-06-29,355030874000173,-23.48862,-46.451515,18.47771623655636
2022-06-29,355030874000175,-23.488465,-46.449107,18.279253486044933
2022-06-29,355030874000177,-23.489589,-46.452267,18.572884380007956
2022-06-29,355030874000146,-23.488686,-46.446473,18.279253486044933
2022-06-29,355030874000147,-23.488453,-46.445619,18.279253486044933
2022-06-29,355030874000148,-23.488088,-46.447047,18.279253486044933
2022-06-29,355030874000174,-23.487689,-46.449774,18.47771623655636
2022-06-29,355030874000186,-23.488829,-46.444497,18.279253486044933
2022-06-30,355030874000128,-23.490073,-46.448788,16.286477488754198
2022-06-30,355030874000129,-23.489588,-46.446908,16.286477488754198
2022-06-30,355030874000130,-23.489589,-46.445558,16.286477488754198
2022-06-30,355030874000141,-23.489409,-46.446869,16.286477488754198
2022-06-30,355030874000167,-23.489014,-46.448352,16.286477488754198
2022-06-30,355030874000176,-23.490741,-46.451299,16.591164662365845
2022-06-30,355030874000185,-23.48972,-46.444727,16.286477488754198
2022-06-30,355030874000168,-23.489018,-46.449844,16.487418714291056
2022-06-30,355030874000169,-23.489704,-46.450225,16.591164662365845
2022-06-30,355030874000173,-23.48862,-46.451515,16.487418714291056
2022-06-30,355030874000175,-23.488465,-46.449107,16.286477488754198
2022-06-30,355030874000177,-23.489589,-46.452267,16.591164662365845
2022-06-30,355030874000146,-23.488686,-46.446473,16.286477488754198
2022-06-30,355030874000147,-23.488453,-46.445619,16.286477488754198
2022-06-30,355030874000148,-23.488088,-46.447047,16.286477488754198
2022-06-30,355030874000174,-23.487689,-46.449774,16.487418714291056
2022-06-30,355030874000186,-23.488829,-46.444497,16.286477488754198
2022-07-01,355030874000128,-23.490073,-46.448788,14.36202626251135
2022-07-01,355030874000129,-23.489588,-46.446908,14.36202626251135
2022-07-01,355030874000130,-23.489589,-46.445558,14.36202626251135
2022-07-01,355030874000141,-23.489409,-46.446869,14.36202626251135
2022-07-01,355030874000167,-23.489014,-46.448352,14.36202626251135
2022-07-01,355030874000176,-23.490741,-46.451299,14.731390067071622
2022-07-01,355030874000185,-23.48972,-46.444727,14.36202626251135
2022-07-01,355030874000168,-23.489018,-46.449844,14.557787823060162
2022-07-01,355030874000169,-23.489704,-46.450225,14.731390067071622
2022-07-01,355030874000173,-23.48862,-46.451515,14.557787823060162
2022-07-01,355030874000175,-23.488465,-46.449107,14.36202626251135
2022-07-01,355030874000177,-23.489589,-46.452267,14.731390067071622
2022-07-01,355030874000146,-23.488686,-46.446473,14.36202626251135
2022-07-01,355030874000147,-23.488453,-46.445619,14.36202626251135
2022-07-01,355030874000148,-23.488088,-46.447047,14.36202626251135
2022-07-01,355030874000174,-23.487689,-46.449774,14.557787823060162
2022-07-01,355030874000186,-23.488829,-46.444497,14.36202626251135
2022-07-02,355030874000128,-23.490073,-46.448788,18.332347544828387
2022-07-02,355030874000129,-23.489588,-46.446908,18.332347544828387
2022-07-02,355030874000130,-23.489589,-46.445558,18.332347544828387
2022-07-02,355030874000141,-23.489409,-46.446869,18.332347544828387
2022-07-02,355030874000167,-23.489014,-46.448352,18.332347544828387
2022-07-02,355030874000176,-23.490741,-46.451299,18.676944166950843
2022-07-02,355030874000185,-23.48972,-46.444727,18.332347544828387
2022-07-02,355030874000168,-23.489018,-46.449844,18.528457263671463
2022-07-02,355030874000169,-23.489704,-46.450225,18.676944166950843
2022-07-02,355030874000173,-23.48862,-46.451515,18.528457263671463
2022-07-02,355030874000175,-23.488465,-46.449107,18.332347544828387
2022-07-02,355030874000177,-23.489589,-46.452267,18.676944166950843
2022-07-02,355030874000146,-23.488686,-46.446473,18.332347544828387
2022-07-02,355030874000147,-23.488453,-46.445619,18.332347544828387
2022-07-02,355030874000148,-23.488088,-46.447047,18.332347544828387
2022-07-02,355030874000174,-23.487689,-46.449774,18.528457263671463
2022-07-02,355030874000186,-23.488829,-46.444497,18.332347544828387
2022-07-03,355030874000128,-23.490073,-46.448788,19.33560189401245
2022-07-03,355030874000129,-23.489588,-46.446908,19.33560189401245
2022-07-03,355030874000130,-23.489589,-46.445558,19.33560189401245
2022-07-03,355030874000141,-23.489409,-46.446869,19.33560189401245
2022-07-03,355030874000167,-23.489014,-46.448352,19.33560189401245
2022-07-03,355030874000176,-23.490741,-46.451299,19.681086255524633
2022-07-03,355030874000185,-23.48972,-46.444727,19.33560189401245
2022-07-03,355030874000168,-23.489018,-46.449844,19.53004917014064
2022-07-03,355030874000169,-23.489704,-46.450225,19.681086255524633
2022-07-03,355030874000173,-23.48862,-46.451515,19.53004917014064
2022-07-03,355030874000175,-23.488465,-46.449107,19.33560189401245
2022-07-03,355030874000177,-23.489589,-46.452267,19.681086255524633
2022-07-03,355030874000146,-23.488686,-46.446473,19.33560189401245
2022-07-03,355030874000147,-23.488453,-46.445619,19.33560189401245
2022-07-03,355030874000148,-23.488088,-46.447047,19.33560189401245
2022-07-03,355030874000174,-23.487689,-46.449774,19.53004917014064
2022-07-03,355030874000186,-23.488829,-46.444497,19.33560189401245
2022-07-04,355030874000128,-23.490073,-46.448788,19.056828874257405
2022-07-04,355030874000129,-23.489588,-46.446908,19.056828874257405
2022-07-04,355030874000130,-23.489589,-46.445558,19.056828874257405
2022-07-04,355030874000141,-23.489409,-46.446869,19.056828874257405
2022-07-04,355030874000167,-23.489014,-46.448352,19.056828874257405
2022-07-04,355030874000176,-23.490741,-46.451299,19.109473942754107
2022-07-04,355030874000185,-23.48972,-46.444727,19.056828874257405
2022-07-04,355030874000168,-23.489018,-46.449844,19.052236748296206
2022-07-04,355030874000169,-23.489704,-46.450225,19.109473942754107
2022-07-04,355030874000173,-23.48862,-46.451515,19.052236748296206
2022-07-04,355030874000175,-23.488465,-46.449107,19.056828874257405
2022-07-04,355030874000177,-23.489589,-46.452267,19.109473942754107
2022-07-04,355030874000146,-23.488686,-46.446473,19.056828874257405
2022-07-04,355030874000147,-23.488453,-46.445619,19.056828874257405
2022-07-04,355030874000148,-23.488088,-46.447047,19.056828874257405
2022-07-04,355030874000174,-23.487689,-46.449774,19.052236748296206
2022-07-04,355030874000186,-23.488829,-46.444497,19.056828874257405
2022-07-05,355030874000128,-23.490073,-46.448788,18.30879667233399
2022-07-05,355030874000129,-23.489588,-46.446908,18.30879667233399
2022-07-05,355030874000130,-23.489589,-46.445558,18.30879667233399
2022-07-05,355030874000141,-23.489409,-46.446869,18.30879667233399
2022-07-05,355030874000167,-23.489014,-46.448352,18.30879667233399
2022-07-05,355030874000176,-23.490741,-46.451299,18.63883252286545
2022-07-05,355030874000185,-23.48972,-46.444727,18.30879667233399
2022-07-05,355030874000168,-23.489018,-46.449844,18.506137101949978
2022-07-05,355030874000169,-23.489704,-46.450225,18.63883252286545
2022-07-05,355030874000173,-23.48862,-46.451515,18.506137101949978
2022-07-05,355030874000175,-23.488465,-46.449107,18.30879667233399
2022-07-05,355030874000177,-23.489589,-46.452267,18.63883252286545
2022-07-05,355030874000146,-23.488686,-46.446473,18.30879667233399
2022-07-05,355030874000147,-23.488453,-46.445619,18.30879667233399
2022-07-05,355030874000148,-23.488088,-46.447047,18.30879667233399
2022-07-05,355030874000174,-23.487689,-46.449774,18.506137101949978
2022-07-05,355030874000186,-23.488829,-46.444497,18.30879667233399
2022-07-06,355030874000128,-23.490073,-46.448788,18.062903265773905
2022-07-06,355030874000129,-23.489588,-46.446908,18.062903265773905
2022-07-06,355030874000130,-23.489589,-46.445558,18.062903265773905
2022-07-06,355030874000141,-23.489409,-46.446869,18.062903265773905
2022-07-06,355030874000167,-23.489014,-46.448352,18.062903265773905
2022-07-06,355030874000176,-23.490741,-46.451299,18.118863422979974
2022-07-06,355030874000185,-23.48972,-46.444727,18.062903265773905
2022-07-06,355030874000168,-23.489018,-46.449844,18.056241191165025
2022-07-06,355030874000169,-23.489704,-46.450225,18.118863422979974
2022-07-06,355030874000173,-23.48862,-46.451515,18.056241191165025
2022-07-06,355030874000175,-23.488465,-46.449107,18.062903265773905
2022-07-06,355030874000177,-23.489589,-46.452267,18.118863422979974
2022-07-06,355030874000146,-23.488686,-46.446473,18.062903265773905
2022-07-06,355030874000147,-23.488453,-46.445619,18.062903265773905
2022-07-06,355030874000148,-23.488088,-46.447047,18.062903265773905
2022-07-06,355030874000174,-23.487689,-46.449774,18.056241191165025
2022-07-06,355030874000186,-23.488829,-46.444497,18.062903265773905
2022-07-07,355030874000128,-23.490073,-46.448788,19.980487242321846
2022-07-07,355030874000129,-23.489588,-46.446908,19.980487242321846
2022-07-07,355030874000130,-23.489589,-46.445558,19.980487242321846
2022-07-07,355030874000141,-23.489409,-46.446869,19.980487242321846
2022-07-07,355030874000167,-23.489014,-46.448352,19.980487242321846
2022-07-07,355030874000176,-23.490741,-46.451299,19.966912958594637
2022-07-07,355030874000185,-23.48972,-46.444727,19.980487242321846
2022-07-07,355030874000168,-23.489018,-46.449844,19.980684682757765
2022-07-07,355030874000169,-23.489704,-46.450225,19.966912958594637
2022-07-07,355030874000173,-23.48862,-46.451515,19.980684682757765
2022-07-07,355030874000175,-23.488465,-46.449107,19.980487242321846
2022-07-07,355030874000177,-23.489589,-46.452267,19.966912958594637
2022-07-07,355030874000146,-23.488686,-46.446473,19.980487242321846
2022-07-07,355030874000147,-23.488453,-46.445619,19.980487242321846
2022-07-07,355030874000148,-23.488088,-46.447047,19.980487242321846
2022-07-07,355030874000174,-23.487689,-46.449774,19.980684682757765
2022-07-07,355030874000186,-23.488829,-46.444497,19.980487242321846
2022-07-08,355030874000128,-23.490073,-46.448788,18.31977484261184
2022-07-08,355030874000129,-23.489588,-46.446908,18.31977484261184
2022-07-08,355030874000130,-23.489589,-46.445558,18.31977484261184
2022-07-08,355030874000141,-23.489409,-46.446869,18.31977484261184
2022-07-08,355030874000167,-23.489014,-46.448352,18.31977484261184
2022-07-08,355030874000176,-23.490741,-46.451299,18.65505513099039
2022-07-08,355030874000185,-23.48972,-46.444727,18.31977484261184
2022-07-08,355030874000168,-23.489018,-46.449844,18.51583684752458
2022-07-08,355030874000169,-23.489704,-46.450225,18.65505513099039
2022-07-08,355030874000173,-23.48862,-46.451515,18.51583684752458
2022-07-08,355030874000175,-23.488465,-46.449107,18.31977484261184
2022-07-08,355030874000177,-23.489589,-46.452267,18.65505513099039
2022-07-08,355030874000146,-23.488686,-46.446473,18.31977484261184
2022-07-08,355030874000147,-23.488453,-46.445619,18.31977484261184
2022-07-08,355030874000148,-23.488088,-46.447047,18.31977484261184
2022-07-08,355030874000174,-23.487689,-46.449774,18.51583684752458
